#word	valence	arousal	dominance	w
leader	7.63	6.27	7.88	0
learn	7.15	5.39	6.34	0
legend	6.39	4.88	5.54	0
leisurely	6.88	3.8	5.15	0
leprosy	2.09	6.29	4	0
lesbian	4.67	5.12	5.35	0
letter	6.61	4.9	5.73	0
liberty	7.98	5.6	6.29	0
lice	2.31	5	3.95	0
lie	2.79	5.96	3.3	0
life	7.27	6.02	5.72	0
lightbulb	5.61	4.1	5.82	0
lighthouse	5.89	4.41	5.25	0
lightning	4.57	6.61	3.67	0
limber	5.68	4.57	5.34	0
lion	5.57	6.2	4.12	0
listless	4.12	4.1	4.14	0
lively	7.2	5.53	6.09	0
locker	5.19	3.38	5.36	0
loneliness	1.61	4.56	2.51	0
lonely	2.17	4.51	2.95	0
loser	2.25	4.95	3.02	0
lost	2.82	5.82	2.86	0
lottery	6.57	5.36	4.81	0
louse	2.81	4.98	3.57	0
love	8.72	6.44	7.11	0
loved	8.64	6.38	6.62	0
loyal	7.55	5.16	6.91	0
lucky	8.17	6.53	6.05	0
lump	4.16	4.8	4.32	0
luscious	7.5	5.34	5.68	0
lust	7.12	6.88	5.49	0
luxury	7.88	4.75	6.4	0
machine	5.09	3.82	5.23	0
mad	2.44	6.76	5.86	0
madman	3.91	5.56	4.79	0
maggot	2.06	5.28	4.03	0
magical	7.46	5.95	5.73	0
mail	6.88	5.63	5.67	0
malaria	2.4	4.4	3.22	0
malice	2.69	5.86	4.74	0
man	6.73	5.24	5.53	0
mangle	3.9	5.44	4.61	0
maniac	3.76	5.39	4.22	0
manner	5.64	4.56	5.05	0
mantel	4.93	3.27	4.95	0
manure	3.1	4.17	4.67	0
market	5.66	4.12	5.27	0
massacre	2.28	5.33	3.5	0
masterful	7.09	5.2	7.18	0
