#Term	pleasantness	attention	sensitivity	aptitude	polarity
astrology	0.022	0	0.011	0.07	0.027
ataraxis	0.621	0.648	-0.252	0.296	0.438
atheism	-0.854	0	0.954	-0.863	-0.89
athletic	0.099	-0.015	0.088	0.064	0.03
athletic activity	0.032	0	0.024	0.176	0.061
athletic event	0.023	-0.081	0.067	0.052	0.03
athletics	0.028	-0.009	0.05	0.092	0.026
atlantic ocean	0	0.087	0	0.071	0.053
atomic bomb	0	-0.046	0	-0.182	-0.045
atrium	-0.027	-0.004	0.022	-0.036	-0.027
atrocious	-0.477	0.373	-0.177	-0.184	-0.155
attach	0.02	0.093	0	0.223	0.112
attachment	0.884	0	0	0.811	0.565
attack	-0.108	0	-0.11	-0.201	-0.14
attack enemy	-0.177	0	-0.159	-0.218	-0.185
attacker	-0.025	0	-0.069	-0.121	-0.072
attain goal	0.772	0.719	0	0.988	0.826
attempt	0	0	0	0.898	0.299
attend	0	0.12	-0.057	0.204	0.089
attend class	0	0.142	-0.061	0.143	0.075
attend opus	0	0	0	-0.072	-0.024
attend rock concert	0.026	-0.047	0	0	0.024
attention	0	1	0	0	0.333
attentive	0	0.143	-0.233	0.188	0.033
attitude	0.197	0.374	-0.275	0.384	0.227
attorney	0	0.146	-0.053	0.077	0.057
attract attention	0	0.079	-0.1	0.112	0.03
attract mate	0.166	-0.052	0.044	-0.046	0.043
attract opposite sex	0.879	0.91	0	0	0.596
attraction	0.908	0.971	0	0	0.626
attractive	0.111	0.121	-0.096	0.246	0.127
attrition	-0.891	0.168	-0.609	0.05	-0.427
audacious	0.481	0.663	-0.252	0.24	0.377
audible	0.778	0	0	0.706	0.495
audience	0	-0.018	-0.055	-0.088	-0.042
audio	0.055	0	0.03	0.136	0.054
auditorium	0	-0.002	-0.09	0	-0.029
augment	0	0.262	-0.122	0.399	0.18
aunt uncle	0.06	0.129	-0.128	0.088	0.05
authority	0.954	0.996	0	0.781	0.91
auto mechanic	0	0	-0.141	0	-0.047
autograph	0	0	0	0.082	0.027
automatic	-0.037	-0.055	0	-0.156	-0.046
automobile accident	-0.926	0	-0.937	0	-0.621
autumn leave	-0.899	0	0	-0.985	-0.628
availability	0.781	0.956	0	0.839	0.859
available	-0.059	0.161	-0.126	0.181	0.052
avalanche	0	-0.031	-0.105	-0.073	-0.049
avaricious	0.098	0.084	0.819	-0.682	-0.44
average	0.031	0.125	0.081	0.138	0.071
aversion	-0.127	0.193	0.593	-0.627	-0.385
aviation	-0.031	-0.02	0.043	-0.042	-0.032
aviator	0.946	0	0	0.77	0.572
avid	0.532	0.657	-0.257	0.268	0.4
avidity	0.532	0.657	-0.257	0.268	0.4
avidness	0.532	0.657	-0.257	0.268	0.4
avoid accident	0	0	-0.076	-0.052	-0.043
avoid conflict	0	0	0.014	-0.148	-0.054
avoid detection	0	-0.04	0	0.244	0.095
avoid fall	0.709	0	0	0.989	0.566
avoid injury	0.29	0	0.028	0.143	0.135
avoid pain	0	0.09	-0.143	0.121	0.023
avoid responsibility	-0.773	0	0.877	-0.947	-0.866
avoid work	-0.998	0	0.893	-0.703	-0.865
awake	-0.04	-0.022	-0.067	0	-0.028
awaken	0.023	0.212	-0.132	0.172	0.092
award	0.797	0.887	0	0.965	0.883
awareness	-0.062	-0.03	0.018	-0.184	-0.078
away crime	-0.048	-0.21	0	0	0.054
awe	0	-1	-1	0	-0.667
awed	0.044	-0.659	0	0.364	0.356
awesome	0.784	0.764	0	0.79	0.779
awestricken	0.044	-0.659	0	0.364	0.356
awestruck	0.044	-0.659	0	0.364	0.356
awful	-0.182	-0.416	-0.113	0.229	0.117
awfully	-0.477	0.373	-0.177	-0.184	-0.155
awkward	-0.521	0.391	-0.243	-0.149	-0.174
axe	-0.044	-0.055	0.029	-0.152	-0.057
axiom	0	0.274	-0.066	0.282	0.163
axle	0.041	-0.087	0	0.056	0.061
aye	0.919	0	0	0.703	0.541
babe ruth	0.048	0	0	0.092	0.047
baby	-0.029	0	0	-0.057	-0.029
baby action	0.97	0	0	0	0.323
baby born	-0.023	0	-0.076	-0.044	-0.048
baby cat	0	-0.004	0.069	-0.042	-0.036
baby cow	0	-0.021	0	0.06	0.027
baby cry	-0.966	0	0.915	0	-0.627
baby deer	0	-0.101	0	0	0.034
baby flower	0.088	0	0	0.072	0.053
baby need	-0.037	0	0.049	0	-0.029
babysit	0.031	0.136	-0.124	0.078	0.04
babysitter	0	0	0	-0.079	-0.026
bachelor degree	0.032	0	0	0.053	0.028
back airplane	0	-0.03	0	-0.098	-0.023
back forth	0.059	0.132	-0.128	0.272	0.112
back pain	0	0	-0.798	-0.94	-0.579
back pocket	0	0.092	0	0	0.031
back sofa	-0.023	0	0	-0.058	-0.027
backache	0	0	-0.861	-0.951	-0.604
backbone	0	-0.012	0.046	-0.07	-0.035
background	-0.085	0	-0.127	0.058	-0.051
backpack	0.042	-0.056	0	0	0.033
backside	-0.112	0.184	-0.131	0.157	0.033
backstroke	0.025	0	0.037	0.103	0.03
backup	-0.049	-0.007	0.069	-0.073	-0.061
backwards	0.035	0.115	0	0.209	0.12
bacterium	0	-0.003	0	-0.106	-0.034
bad	-0.755	0.154	-0.643	0.142	-0.367
bad action	-0.768	0	0.85	-0.778	-0.799
bad behavior	-0.458	0.154	-0.392	0.094	-0.201
bad blood	0	0.146	0.723	-0.665	-0.414
bad boy	-0.196	0	-0.12	0	-0.105
bad breath	-0.042	-0.09	0.016	-0.221	-0.063
bad child	-0.2	0.081	-0.127	0	-0.082
bad choice	-0.561	0.156	-0.431	0.122	-0.238
bad credit	-0.175	0.095	0	-0.163	-0.081
bad dream	0	0	-0.905	0	-0.302
bad drug	-0.182	-0.078	0	-0.203	-0.102
bad experience	0	0	-0.737	0	-0.246
bad eyesight	-0.139	0	0.013	-0.081	-0.078
bad feeling	-0.839	0	0	0	-0.28
bad food	0	0	-0.84	0	-0.28
bad good	-0.053	-0.006	-0.152	0	-0.066
bad grade	-0.3	-0.031	-0.096	-0.056	-0.14
bad guy	-0.06	0.076	-0.044	-0.158	-0.062
bad habit	0	0	-0.073	0	-0.024
bad hair day	-0.49	-0.142	-0.082	-0.374	-0.268
bad haircut	-0.913	0	0.869	-0.765	-0.849
bad health	-0.381	0.108	-0.389	0.072	-0.197
bad karma	-0.39	-0.115	-0.177	-0.307	-0.253
bad kid	-0.117	0.089	0.015	-0.069	-0.037
bad knee	-0.168	-0.067	-0.066	-0.264	-0.144
bad luck	-0.438	-0.145	-0.066	-0.333	-0.231
bad manner	-0.06	0	0	-0.166	-0.075
bad mood	-0.055	-0.009	0.086	-0.184	-0.105
bad news	-0.886	0	-0.783	0	-0.556
bad odor	-0.031	0.152	-0.107	0.188	0.067
bad omen	0	0	-0.995	0	-0.332
bad person	-0.099	0	-0.091	-0.095	-0.095
bad quality	-0.061	0	0	-0.037	-0.033
bad situation	0	0	-0.942	-0.922	-0.621
bad smell	0	0	0.83	-0.939	-0.59
bad taste	0	0	0	-0.817	-0.272
bad temper	-0.139	0.151	0.613	-0.627	-0.409
bad time	-0.392	0	-0.327	0	-0.24
bad vision	-0.321	-0.197	0.049	-0.496	-0.223
bad word	0	0	0.764	-0.707	-0.49
badness	-0.393	0.149	-0.166	0.062	-0.116
baffle	0.044	-0.661	0	0.361	0.355
bagel	0.041	-0.071	0.034	0	0.026
baggage	0.022	0	0.025	-0.07	-0.024
baggage compartment	0	0	0	-0.084	-0.028
bail	-0.08	0.277	-0.159	0.168	0.069
bake bean	0.098	0.103	-0.062	0.134	0.091
bake cake	0	-0.085	0.016	0	0.023
bake cookie	0.021	-0.098	0.025	0	0.031
bake food	0.036	-0.06	0.037	0.05	0.036
bake good	0.077	-0.017	0.024	0.095	0.055
bake goods	0.069	-0.039	0.025	0.089	0.057
bake oven	0.061	-0.049	0	0	0.037
bake product	0.07	-0.014	0.026	0.108	0.055
bake treat	0.076	-0.005	0.019	0.102	0.055
bakery	0	-0.023	0	0.07	0.031
bakery item	0.07	-0.015	0.03	0.119	0.058
balance	0	0.125	0.074	0.097	0.049
balance check account	-0.064	0.151	0	0.075	0.054
balance checkbook	-0.065	0.16	0	0	0.032
balcony	0	-0.044	-0.059	-0.06	-0.025
balcony seat	0	-0.044	-0.086	-0.046	-0.029
bald	-0.051	-0.004	-0.074	-0.05	-0.057
bald head	-0.291	-0.009	0	-0.162	-0.148
ball bounce	-0.068	-0.143	0.083	-0.071	-0.026
ball game	0.054	-0.073	0.019	0	0.036
ball shape	0.025	-0.033	0.111	0.122	0.023
ball sport	0	-0.083	0.022	0.067	0.043
ballerina	0.15	-0.005	0	0.08	0.078
ballet	0.12	-0.061	0	0	0.06
ballon	0.089	-0.18	0.037	-0.061	0.057
balloon	0.069	-0.277	0	-0.038	0.103
ballot	-0.034	0.242	-0.125	0.226	0.103
ballpark	0	0	-0.056	-0.033	-0.03
ballpoint pen	0	-0.066	0.078	-0.079	-0.03
ballroom	0.068	-0.03	0	0	0.033
ballroom dance	0.893	0	0	0	0.298
band play	0.937	0	0	0	0.312
band room	-0.044	-0.04	-0.051	-0.05	-0.035
band together	0.098	0.254	-0.166	0.297	0.161
bandage	-0.063	-0.03	0	-0.172	-0.068
bandit	0	0	-0.066	-0.071	-0.046
bang	0.444	0.367	-0.111	0.188	0.296
bang gavel	-0.139	0.121	-0.091	0	-0.036
bang head	-0.258	-0.092	-0.091	-0.277	-0.178
bank	0.031	0.176	0	0	0.069
bank account	0	0.192	0	0.052	0.081
bank loan	0	0.33	-0.063	0.107	0.125
bank machine	0.023	0.118	0.02	-0.037	0.028
bank money	0	0.304	-0.075	0.102	0.11
bank vault	0.031	0.171	0	0	0.067
banker	0	0.269	-0.063	0	0.069
banknote	0	0.187	0.025	0	0.054
bankruptcy	-0.138	0.136	-0.12	0	-0.041
banner	0.041	0.077	0	0	0.039
banquet	0.128	-0.041	0	0	0.056
banter	0.699	0.62	-0.23	0.323	0.471
bar	0.184	-0.006	0.037	-0.04	0.038
bar service	0.115	-0.013	0	-0.045	0.028
barb	0	0	0	0.071	0.024
barbershop	0	0	0.027	-0.098	-0.042
barbie doll	0.039	-0.082	0	0.098	0.073
barf	-0.265	-0.077	-0.066	-0.283	-0.179
bargain	-0.032	0.306	-0.074	0.241	0.147
baron	0.066	0.163	-0.062	0.163	0.11
barrack	0.627	0.61	-0.24	0.234	0.41
barrette	0	-0.101	0.086	-0.157	-0.047
barrier	-0.037	0.093	0	0.089	0.048
bart	0.159	-0.071	0.024	0	0.069
bartender	0.137	-0.025	0	-0.074	0.029
barter	-0.05	0.215	-0.089	0.293	0.123
base	0	0.089	0	0	0.03
baseball diamond	0.048	0.077	0	-0.031	0.031
baseball team	0	0	0	-0.108	-0.036
baseball term	-0.024	0.152	0.041	0.256	0.114
bash	0.12	-0.192	0	-0.096	0.072
bashfully	-0.464	0.39	-0.192	-0.17	-0.145
bashfulness	-0.542	0.383	-0.26	-0.14	-0.186
basic	0	0.148	0	0.148	0.099
basic human need	0.127	0.069	0.029	0.16	0.109
basic unit	0	0	0.033	0.129	0.032
basketball	-0.024	-0.143	0.044	0	0.025
basketball hoop	-0.027	0	0.107	0	-0.045
basketball team	0.035	0.155	0	0	0.063
bath room	0	-0.044	0	-0.129	-0.028
bath toy	0	-0.106	0	0	0.035
bathroom drawer	0	-0.044	0	-0.129	-0.028
bathroom floor	0	-0.054	0	-0.124	-0.023
batman	0	0	-0.07	0	-0.023
baton	0	-0.081	0.036	-0.137	-0.031
batter	0.092	-0.091	0	0	0.061
battle	-0.053	0	-0.084	-0.196	-0.111
battle cancer	-0.781	0	-0.933	0	-0.571
battle disease	-0.058	0.082	-0.167	-0.052	-0.065
battle illness	-0.133	0	-0.067	0	-0.067
battlefield	-0.027	0.067	-0.117	-0.198	-0.092
battleship	0	0	0	-0.072	-0.024
bawl	-0.221	0	-0.2	0	-0.14
bayonet	0	-0.04	0.021	-0.177	-0.053
bazaar	0	0.113	0.041	0.058	0.043
beach	0	0	0.012	-0.062	-0.025
beach bag	-0.036	-0.003	0	-0.049	-0.027
beach house	0.844	0	0	0	0.281
beach towel	0	-0.038	0.047	-0.06	-0.023
bead	0	0.171	-0.056	0.102	0.072
beam	0.146	-0.019	0.023	-0.039	0.034
beaming	0.635	0.639	-0.243	0.291	0.441
beanie baby	0	-0.112	0.013	0	0.033
beast	0.03	0.068	-0.044	0.093	0.049
beat	0.062	-0.604	0	0.289	0.318
beat up	-0.948	0	0	-0.992	-0.647
beaten	0	0	-0.758	0	-0.253
beatify	0.645	0.637	-0.239	0.299	0.447
beatles song	0.029	0.189	-0.099	0.306	0.142
beau	0.09	-0.029	0	-0.045	0.025
beautiful	0.091	0.121	0	0.229	0.147
beautiful dangerous	-0.09	0	-0.147	0	-0.079
beautiful day	0.984	0.789	0	0	0.591
beautiful girl	-0.023	0	-0.06	0	-0.028
beautiful look	0.062	0.076	0.054	0.171	0.085
beautiful music	0.994	0.924	0	0.926	0.948
beautiful place	0.054	-0.035	0	0	0.03
beautiful sunset	0.865	0	0	0.984	0.616
beautiful well useful	-0.046	0.12	-0.078	0.199	0.065
beautiful woman	0	0.098	0	0.107	0.068
beauty	0.868	0.99	0	0	0.619
beauty salon	0	-0.006	0.015	-0.131	-0.047
beauty shop	0	-0.053	0.009	-0.165	-0.04
beauty world	0.226	0	0	-0.108	0.039
beckon	0	0.098	-0.049	0.25	0.1
become addicted	0.596	0.233	-0.14	0.106	0.265
become adult	-0.141	0	-0.083	-0.06	-0.095
become angry	-0.192	-0.093	0	-0.369	-0.156
become aroused	0.071	0.118	-0.102	0.069	0.052
become aware	-0.101	0.184	-0.047	0.06	0.032
become better person	0.791	0.892	0	0.966	0.883
become blind	-0.994	-0.757	-0.901	0	-0.379
become bored	-0.065	-0.133	0.116	-0.373	-0.14
become clean	0	0	0	0.068	0.023
become cold	0.101	0	0	0	0.034
become cultured	0	-0.095	0.049	-0.285	-0.08
become depressed	-0.827	0	-0.968	0	-0.598
become distracted	-0.073	0.125	-0.075	-0.067	-0.03
become doctor	-0.503	0.102	-0.445	0	-0.282
become drunk	0.07	-0.103	0.094	-0.293	-0.071
become educated	0.851	0.514	0	0.53	0.632
become enlighten	0.884	-0.916	0	0.576	0.792
become excited	0.28	0	-0.107	-0.066	0.036
become exhausted	-0.076	-0.101	0.046	-0.175	-0.065
become expert	-0.125	0	0.033	-0.136	-0.098
become extinct	-0.095	0	-0.07	0	-0.055
become famous	0.912	0	0	0.974	0.629
become fat	0.06	-0.145	0.036	-0.27	-0.034
become fatigued	-0.098	-0.041	0.013	-0.118	-0.063
become frustrated	-0.809	0	0.703	0	-0.504
become full	0.043	-0.003	-0.058	-0.132	-0.048
become happy	0.746	0.809	0	0	0.518
become ill	-0.928	-0.735	-0.939	0	-0.377
become impatient	0	0	0.882	0	-0.294
become informed	-0.189	-0.124	0	-0.309	-0.125
become intelligent	-0.039	-0.071	0.047	-0.269	-0.095
become intoxicated	-0.95	0	-0.736	-0.736	-0.807
become judge	0	0.118	0	0	0.039
become knowledgeable	-0.069	-0.13	0.055	-0.204	-0.066
become lawyer	-0.041	0.125	0	0	0.028
become liquid	0.093	0.204	-0.088	0.254	0.154
become little hungry	0.964	0	0	0	0.321
become man	-0.125	-0.052	0	-0.042	-0.038
become obsolete	-0.044	0.1	-0.051	0.103	0.036
become old	0	0.089	-0.102	0.165	0.051
become parent	-0.062	0.2	-0.1	0.168	0.069
become physically fit	-0.031	-0.047	0.023	-0.088	-0.032
become politician	-0.125	0.138	-0.104	0	-0.03
become poor	-0.303	-0.073	-0.045	-0.241	-0.172
become popular	0.161	-0.13	0.112	-0.11	0.023
become relaxed	0.109	-0.149	0.075	-0.261	-0.026
become rest	0.083	-0.099	0.071	-0.197	-0.029
become rich	0.832	0	0	0	0.277
become sad	-0.246	-0.126	-0.181	-0.18	-0.16
become sick	0	-0.734	-0.778	-0.806	-0.283
become smart	0	0	0	0.879	0.293
become stressed	-0.163	0.086	-0.096	-0.052	-0.075
become tired	-0.067	-0.121	0.064	-0.178	-0.063
become unconscious	-0.049	-0.035	-0.062	-0.163	-0.08
become wealthy	0.986	0	0	0	0.329
become wind	-0.071	-0.072	0.02	-0.085	-0.035
bed bug	0	-0.074	0.137	-0.124	-0.062
bed cover	0.049	0	0	0.052	0.034
bed sleep	0.299	0.126	0	0.207	0.211
bed time	-0.031	-0.008	0	-0.045	-0.023
bedevil	-0.132	0.071	0.694	-0.674	-0.476
bee hive	0	0	0	0.087	0.029
bee home	0.028	0	0.027	0.101	0.034
bee house	-0.181	-0.017	-0.059	-0.079	-0.101
bee product	0.072	0.065	-0.068	0.144	0.071
bee sting	0	0	-0.734	-0.819	-0.518
beep	-0.035	-0.043	0.055	-0.052	-0.033
beer	0.142	-0.023	0.019	-0.056	0.03
beer container	0.03	0	0.022	0.062	0.023
beer mug	0.17	-0.031	0.026	-0.086	0.03
beetle	0	-0.075	0.08	-0.086	-0.03
before meal	0.127	0.264	0	0.234	0.208
before night	0	0.103	-0.083	0.095	0.038
beg	0	0	0.705	-0.987	-0.564
begin	0	0.256	-0.157	0.31	0.136
begin end	0	0.069	0.009	0.173	0.078
begin pro	0.038	0.259	0	0.195	0.164
begrudge	0.067	0.104	0.791	-0.679	-0.433
beguile	0.601	0.647	-0.266	0.322	0.435
beguiled	0.601	0.647	-0.266	0.322	0.435
behave	0	0.133	-0.163	0.213	0.061
behavior	0.108	0.293	-0.295	0.402	0.169
behead	0	0	-0.966	-0.912	-0.626
behind	-0.037	0.168	-0.086	0.18	0.075
behind house	-0.079	0	0	0	-0.026
belch	0.035	0	-0.078	-0.033	-0.025
belief	0.086	0.471	-0.126	0.411	0.281
belief god	-0.025	0.347	-0.123	0.305	0.168
belief system	0	0.356	-0.079	0.327	0.201
believe	0.06	0.422	-0.177	0.41	0.238
believe god	-0.036	0.284	-0.112	0.211	0.116
believer	0	0.231	-0.064	0.216	0.128
bell	0.034	0	0.01	0.087	0.037
bell noise	0.02	0	0	0.123	0.048
bell ring	0	0	0.048	0.155	0.036
bell sound	0.034	0	0	0.19	0.075
bell tower	0	0.199	0.036	0.199	0.121
belle	0.046	0	-0.099	0.203	0.05
belligerence	0	0.139	0.736	-0.668	-0.422
belligerency	0	0.139	0.736	-0.668	-0.422
belligerent	0	0.139	0.736	-0.668	-0.422
belligerently	0	0.149	0.719	-0.664	-0.411
belly button	0	0.102	0	0	0.034
belong	0.064	0.2	-0.19	0.292	0.122
belong club	-0.056	0	-0.074	-0.111	-0.08
belong person	0	0.221	-0.13	0.249	0.113
belonging	0.632	0.645	-0.24	0.295	0.444
beloved	0.23	0.304	-0.374	0.336	0.165
belt	0	0	0.063	-0.047	-0.037
bend	0	0	0	0.078	0.026
bend knee	0	-0.091	0.049	-0.144	-0.034
bend leg	-0.036	-0.055	0.052	-0.043	-0.025
bend over	-0.086	-0.027	0.042	-0.117	-0.073
beneath	-0.101	0.112	-0.057	0.135	0.03
benefic	0.578	0.672	-0.286	0.305	0.423
beneficed	0.578	0.672	-0.286	0.305	0.423
beneficence	0.578	0.672	-0.286	0.305	0.423
beneficent	0.578	0.672	-0.286	0.305	0.423
beneficially	0.578	0.672	-0.286	0.305	0.423
benefit	0.085	0.365	-0.201	0.362	0.204
benevolence	0.547	0.674	-0.281	0.286	0.409
benevolent	0.552	0.681	-0.294	0.297	0.412
benevolently	0.547	0.674	-0.281	0.286	0.409
bequest	-0.061	0.247	-0.201	0.205	0.063
bereaved	-0.884	0.175	-0.599	0	-0.436
bereavement	0.038	-0.009	-0.129	0	-0.027
bereft	-0.884	0.175	-0.599	0	-0.436
beset	-0.593	0.162	0.221	-0.503	-0.385
beside	0.071	0.127	0	0.197	0.132
besot	0.044	-0.661	0	0.361	0.355
best	0.135	0.225	-0.124	0.432	0.223
best ever	0.106	-0.053	0	0.437	0.199
best friend	0.727	0	0	0.705	0.477
best life	0.924	0	0	0	0.308
best opponent	-0.133	0	-0.094	-0.121	-0.116
betray	-0.501	-0.185	0.038	-0.348	-0.234
betrayal	-0.222	0.154	-0.248	0	-0.105
better	0.059	0.265	-0.282	0.354	0.132
better cardiovascular health	-0.051	-0.037	0.027	-0.031	-0.024
better cold	0.121	0.113	-0.046	0.114	0.101
better good	0.123	-0.338	-0.049	0.493	0.302
better grade	0.769	0	0	0	0.256
better job	0.957	0	0	0	0.319
better life	0.808	0	0	0.975	0.594
better oneself	-0.084	0.088	-0.084	0	-0.027
better others	0.04	0.091	-0.115	0.064	0.027
better person	0.235	0.271	-0.181	0.199	0.175
better shape	-0.046	-0.097	0.037	-0.114	-0.033
better understand	0.932	0.774	0	0.798	0.835
better world	0.561	0.575	0	0.763	0.633
betterment	-0.028	0.276	-0.21	0.302	0.113
bewilder	0.044	-0.661	0	0.361	0.355
bewilderment	0.051	0.307	-0.097	0.233	0.165
bewitch	0.972	0	0	0.729	0.567
bewitching	0.724	0	0	0.961	0.562
beyond	0	0.163	-0.053	0.175	0.095
biased	0	0	0.933	-0.764	-0.566
bible	0	0.187	0	0.211	0.133
bible story	0.029	0	0.105	0	-0.025
bicycle across town	-0.112	0.086	-0.078	0	-0.035
bicycle part	0.069	0.072	0	0.124	0.088
bicycle school	-0.165	0	-0.057	-0.065	-0.096
bicycle shop	0	-0.025	0.038	-0.079	-0.031
bicycle store	-0.072	0	0	0	-0.024
bicycle work	-0.106	0	0	-0.049	-0.052
bid	-0.152	0.25	-0.256	0.294	0.045
big	0.037	0.09	0.049	0.223	0.1
big bang	-0.21	0	0	-0.095	-0.102
big blue	-0.137	0	0	0.054	-0.028
big boat	0	-0.044	0.104	-0.053	-0.038
big breadbox	0	-0.012	0.089	0	-0.026
big build	0	0.126	0.032	0.167	0.087
big business	0.132	0	0.084	0.071	0.04
big deal	-0.048	0.198	-0.133	0.185	0.067
big fight	-0.087	0	-0.085	-0.179	-0.117
big game	0.066	-0.17	0.103	-0.235	-0.034
big group	0.066	0.069	0	0.086	0.074
big gun	-0.031	-0.016	0	-0.163	-0.059
big hat	0.038	0.079	0.03	0.083	0.057
big heavy	0.026	0.141	0.031	0.2	0.112
big home	0.231	0	0	0.109	0.113
big huge	-0.045	0.089	0	0.208	0.084
big land	0	0.07	0.018	0.069	0.04
big money	0.223	0	0.055	0.157	0.108
big monster	-0.344	0	-0.391	-0.096	-0.277
big mouth	0	0.068	0	0	0.023
big paycheck	0.163	0.142	0.024	0.184	0.155
big person	0	0.073	0.009	0.122	0.062
big place	0.034	0.09	0.021	0.186	0.096
big problem	-0.176	0	-0.204	0	-0.127
big rat	-0.721	0	-0.825	-0.841	-0.796
big small	0.034	0.079	0.107	0.185	0.064
big stick	0.134	-0.112	0.066	0.054	0.078
big tree	0.856	0	0	0	0.285
bigot	-0.214	0	-0.198	-0.189	-0.2
bigotry	0	0	0.854	-0.857	-0.57
bikini	0	-0.107	0.098	-0.102	-0.031
bill	-0.033	0.249	-0.065	0.102	0.084
bill pay	-0.139	0.251	-0.131	0.146	0.042
billboard	0.031	-0.006	0.016	-0.089	-0.023
billfold	0	0.149	0	0	0.05
bind agreement	0	0.104	-0.046	0.092	0.05
bind book	-0.063	0	0.013	0	-0.025
bind together	0.026	0.078	0	0.214	0.106
binoculars	0	-0.028	0.048	-0.058	-0.026
biodegradable	0.085	0	0.035	0.147	0.066
biological machine	0.069	0.14	-0.064	0.108	0.084
biology	-0.045	0	-0.063	0	-0.036
biped	0.041	0	0	0.058	0.033
birch	0.043	-0.04	0	0	0.028
bird group	0.048	0.095	0	0.087	0.077
bird home	0	-0.06	0.022	0.054	0.031
bird mouth	0	0.105	0	0	0.035
bird pet	0.03	0.085	0	0	0.038
bird watch	0.885	0	0	0	0.295
birth	0.95	0	0	0	0.317
birth control	-0.035	0.066	-0.106	-0.088	-0.054
birth control pill	0	-0.062	0.009	-0.176	-0.041
birthday	0.863	0	0	0.878	0.58
birthday cake	0.875	0	0	0	0.292
birthday candle	0.73	0	0	0	0.243
birthday gift	0.994	0.93	0	0.789	0.904
birthday party	0.901	-0.901	0	0	0.601
birthday present	0.989	0.733	0	0.91	0.877
birthday surprise	0.894	-0.732	0	0	0.542
birthday treat	0.942	-0.882	0	0	0.608
birthday wed	0.128	-0.119	0	0.085	0.111
biscuit	0.023	-0.078	0	0	0.034
bishop	0.023	0.218	0	0.223	0.155
bite	-0.03	-0.039	0.052	-0.036	-0.026
bite dog	0	0	-0.941	-0.904	-0.615
bite nail	-0.253	0	-0.267	-0.122	-0.214
bite tongue	-0.159	-0.051	-0.083	-0.125	-0.105
bitterness	0	0	0	-0.875	-0.292
black dot	-0.027	0	0.048	0	-0.025
black eye	0	0	0.974	-0.941	-0.638
black green	-0.047	0.079	0	0.073	0.035
black man	-0.035	-0.038	0.022	-0.114	-0.044
black stuff	0	0	0.029	0.135	0.035
black water	-0.119	0	-0.089	0	-0.069
black white	0	0.115	0	0.105	0.073
blackberry	-0.041	0	-0.105	0.074	-0.024
blackmail	0	0	0.968	-0.73	-0.566
blackness	0.032	0.074	-0.073	0.083	0.039
blackout	0	-0.812	0	0	0.271
blacksmith	0	0	-0.068	0	-0.023
blade	0	-0.028	0.074	-0.095	-0.047
blade weapon	-0.04	0.138	-0.085	0.111	0.041
blame	-0.429	0	-0.214	-0.206	-0.283
bland	-0.028	-0.068	0.053	-0.061	-0.025
blank check	0	-0.03	0.076	-0.118	-0.055
blank stare	-0.16	0	-0.144	-0.092	-0.132
blare	-0.038	-0.05	0.071	-0.07	-0.043
blast	0	-0.055	-0.121	-0.126	-0.064
bleed	0	0	-0.753	-0.749	-0.501
blemish	-0.222	-0.039	0.026	-0.137	-0.115
blend	0.13	0.097	-0.077	0.198	0.116
bless	0.903	0	0	0	0.301
blind	0	0.107	-0.065	0.113	0.052
blindness	-0.131	-0.012	0.014	-0.1	-0.078
blink	-0.15	-0.008	0	-0.101	-0.081
blink eye	0	0.709	0	0	0.236
bliss	0.732	0	0	0.706	0.479
blister	-0.114	-0.086	0.028	-0.188	-0.081
blister foot	-0.06	-0.096	0.042	-0.122	-0.043
blithely	0.653	0.635	-0.244	0.294	0.446
blitheness	0.655	0.635	-0.237	0.3	0.451
block	0	-0.003	0.014	0.098	0.029
block light	0	0.097	0	0.097	0.065
block sun	0	0.071	0	0.078	0.05
block sunlight	0.055	0.083	0	0.09	0.076
blog	-0.058	-0.023	-0.06	0	-0.032
blonde	0	0.073	-0.059	0.067	0.027
blood	-0.041	-0.006	-0.045	-0.189	-0.09
blood test	0	0	-0.822	0	-0.274
blood type	0.063	-0.038	0	0.121	0.074
blood vessel	0	0	0	-0.129	-0.043
bloodhound	0.059	0.073	0	0	0.044
bloodshed	-0.976	0	-0.936	-0.875	-0.929
bloody	-0.193	0	-0.14	-0.157	-0.163
bloody nose	0	-0.801	-0.719	-0.841	-0.253
blossom	0	0.07	0	0.071	0.047
blouse	0.1	-0.12	0.05	-0.032	0.046
blow air	0.116	0.129	-0.058	0.053	0.08
blow away	-0.105	0	-0.052	0	-0.052
blow candle	0.167	-0.144	0.015	0.051	0.116
blow dryer	0	-0.067	0.035	-0.173	-0.047
blow horn	-0.106	0	0	0	-0.035
blow nose	-0.041	0.138	-0.095	0.074	0.025
blow note	-0.037	-0.074	0.079	-0.124	-0.055
blow off steam	0.098	-0.204	0.077	-0.143	0.027
blow out	0.05	0	-0.076	-0.049	-0.025
blow out candle	-0.06	-0.107	-0.144	0	-0.032
blow out match	-0.083	0	-0.088	-0.12	-0.097
blow smoke	-0.051	0	-0.111	-0.047	-0.07
blow up	-0.083	-0.049	-0.097	-0.153	-0.095
blow up balloon	-0.114	-0.01	-0.071	0	-0.058
blowjob	0.305	0.168	-0.103	0.299	0.223
blown	-0.094	0	0	-0.102	-0.065
blown up	0	0	-0.758	0	-0.253
bludgeon	0.12	-0.157	0.032	0.075	0.107
